assembly,pcaG,pcaH,PETase,tphA2,tphA3,tphB
2505313047,2,2,0,2,0,8
2505313048,2,2,0,1,0,6
2505313055,2,2,0,2,0,5
2505313062,2,2,0,4,0,5
2505679005,0,0,0,0,0,0
2505679006,0,0,0,0,0,0
2505679007,0,0,0,0,0,0
2505679008,0,0,0,0,0,0
2505679009,0,0,0,0,0,0
2505679016,0,0,0,0,0,0
2505679024,0,0,0,0,0,0
2505679030,2,2,0,0,0,1
2505679032,0,0,0,0,0,0
2505679052,0,0,0,0,0,0
2505679056,2,2,0,2,0,1
2505679067,3,3,0,8,0,5
2505679068,0,0,0,0,0,0
2505679073,0,0,0,0,0,0
2505679075,0,0,0,0,0,0
2505679077,0,1,0,0,0,0
2505679078,0,0,0,0,0,0
2505679080,0,0,0,0,0,3
2505679082,3,3,0,3,0,6
2505679085,0,0,0,0,0,0
2505679086,3,3,0,4,0,10
2505679089,0,0,1,0,0,0
2505679104,0,0,0,0,0,1
2506210001,0,0,0,2,0,4
2506210002,0,1,0,4,1,0
2506210003,0,0,0,2,1,0
2506210005,0,0,0,0,0,0
2506210010,0,0,0,0,0,4
2506210028,0,0,0,0,0,0
2506210030,2,3,0,4,0,6
2506210031,3,3,0,2,0,9
2506210034,0,0,0,0,0,0
2506210035,0,0,0,0,0,0
2506381000,0,0,0,0,0,0
2506381007,0,0,0,0,0,0
2506381008,0,0,0,0,0,0
2506381009,0,0,0,0,0,0
2506381010,0,0,0,0,0,0
2506381019,2,1,1,16,0,0
2506381022,0,0,0,0,0,0
2506381023,0,0,0,0,0,0
2506381025,0,0,0,0,0,0
2506381026,0,0,0,0,0,0
2506485001,1,2,0,0,0,1
2506485002,0,0,0,0,0,0
2506485007,0,0,0,0,0,0
2506520011,0,0,0,0,0,0
2506520012,0,0,0,0,0,2
2506520013,0,0,0,0,0,1
2506520014,0,0,0,1,0,0
2506520015,0,0,0,0,0,0
2506520016,0,1,0,0,0,3
2506520020,0,0,0,0,0,1
2506520024,0,0,0,1,0,0
2506520025,0,0,0,0,0,0
2506520034,0,0,0,1,0,0
2506520035,0,0,0,0,0,5
2506520038,0,0,0,0,0,3
2506520039,0,0,0,0,0,0
2506520040,0,0,0,1,0,0
2506520041,0,0,0,1,0,0
2506520042,0,0,0,0,0,0
2506520044,0,0,0,3,0,0
2506520045,0,0,0,0,0,0
2506520046,0,2,0,0,0,0
2506520047,0,0,0,2,0,0
2506520048,0,0,0,0,0,0
2506520049,0,2,0,0,0,0
2506520053,0,0,0,0,0,0
2506783006,0,0,0,0,0,1
2506783009,0,0,0,0,0,0
2506783010,0,0,0,0,0,0
2506783011,0,0,0,2,0,0
2506783014,1,0,0,8,0,3
2506783017,2,2,0,1,0,6
2506783019,0,0,0,0,0,0
2506783032,0,0,0,0,0,0
2506783034,0,0,0,0,0,0
2506783043,0,0,0,0,0,0
2506783044,0,0,0,0,0,4
2506783045,1,1,0,0,0,3
2506783046,0,0,0,0,0,1
2506783047,0,0,0,0,0,0
2506783048,0,0,0,10,0,0
2506783052,0,0,0,0,0,0
2506783053,0,0,0,0,0,0
2506783054,0,0,0,1,0,0
2506783056,0,0,0,0,0,0
2506783057,3,4,0,2,0,8
2506783059,0,0,0,0,0,0
2506783060,2,1,0,13,0,2
2506783061,0,0,0,0,0,0
2506783062,0,0,0,0,0,0
2506783063,0,0,0,0,0,0
2506783064,0,0,0,0,0,0
2506783068,0,0,0,0,0,0
2507149004,0,0,0,2,0,0
2507149014,0,0,0,0,0,0
2507149015,1,1,0,1,0,0
2507149019,0,0,0,0,0,0
2507149024,0,0,0,0,0,0
2507262001,2,2,0,1,0,13
2507262011,0,0,0,0,0,0
2507262012,0,0,0,0,0,0
2507262013,0,0,0,1,0,0
2507262015,0,0,0,3,0,2
2507262016,0,0,0,0,0,0
2507262026,0,0,0,0,0,1
2507262027,0,1,0,0,0,0
2507262028,0,0,0,0,0,0
2507262031,0,0,0,0,0,0
2507262035,0,0,0,0,0,0
2507262036,0,0,0,0,0,0
2507262043,0,0,0,0,0,0
2507262048,0,0,0,0,0,0
2507262051,0,0,0,0,0,0
2507262052,0,0,0,0,0,0
2507262054,0,0,0,0,0,0
2507262057,3,4,0,3,0,5
2507525000,3,1,1,0,0,0
2508501000,0,0,0,0,0,0
2508501001,0,0,0,0,0,1
2508501002,0,0,0,0,0,0
2508501003,0,0,0,0,0,0
2508501004,0,0,0,0,0,1
2508501005,1,1,0,1,0,2
2508501006,0,0,0,0,0,0
2508501007,0,0,0,0,0,0
2508501011,0,0,0,1,0,0
2508501012,4,1,1,0,0,0
2508501013,3,1,1,1,0,0
2508501014,0,0,0,1,0,1
2508501015,0,0,0,1,0,0
2508501017,0,0,0,1,0,0
2508501018,0,0,0,1,0,0
2508501019,0,0,0,1,0,0
2508501020,0,0,0,0,0,0
2508501021,0,0,0,2,1,0
2508501023,0,0,0,0,0,1
2508501027,2,2,0,4,2,3
2508501034,0,0,0,0,0,1
2508501038,0,0,0,0,0,0
2508501039,2,1,0,16,0,0
2508501040,4,3,0,22,2,9
2508501041,0,0,0,0,0,0
2508501043,0,0,0,0,0,0
2508501044,3,1,1,1,0,1
2508501045,0,0,0,1,0,0
2508501047,0,1,0,0,0,0
2508501048,0,0,0,0,0,0
2508501049,0,0,0,4,0,4
2508501050,6,9,0,2,0,1
2508501051,0,0,0,0,0,0
2508501052,0,0,0,10,0,4
2508501056,0,0,0,0,0,0
2508501060,0,0,0,0,0,0
2508501063,0,0,0,0,0,0
2508501066,1,1,0,1,0,0
2508501068,0,0,0,0,0,0
2508501069,0,0,0,0,0,0
2508501070,0,0,0,0,0,1
2508501071,2,2,0,1,0,7
2508501075,0,0,0,0,0,0
2508501098,0,0,0,0,0,0
2508501103,0,0,0,0,0,0
2508501105,0,0,0,0,0,0
2508501106,3,3,0,19,1,2
2508501107,0,0,0,0,0,0
2508501108,0,1,0,1,0,0
2508501109,0,0,0,0,0,0
2508501110,0,0,0,0,0,0
2508501111,0,2,0,0,0,1
2508501112,0,0,0,7,2,1
2508501114,2,2,0,0,0,0
2508501115,0,1,0,0,0,0
2508501119,0,0,1,0,0,1
2508501120,0,0,0,0,0,0
2508501122,3,5,0,1,0,2
2508501123,0,0,0,4,0,1
2508501124,4,4,0,7,1,13
2508501126,2,3,0,3,0,2
2508501127,2,3,0,1,0,1
2508501128,3,3,0,2,0,8
2508501136,0,0,0,0,0,0
2509276007,0,0,0,0,0,0
2509276011,3,3,0,6,0,1
2509276013,0,0,0,0,0,1
2509276016,0,0,0,0,0,1
2509276017,2,2,0,2,0,3
2509276018,2,3,0,4,0,1
2509276020,0,1,0,0,0,1
2509276022,0,0,0,6,0,1
2509276023,0,0,0,0,0,0
2509276025,0,0,0,0,0,0
2509276026,0,0,0,0,0,0
2509276028,0,0,0,0,0,0
2509276029,0,0,0,0,0,0
2509276030,0,0,0,0,0,0
2509276031,0,0,0,0,0,0
2509276035,0,0,0,0,0,0
2509276036,0,0,0,0,0,0
2509276043,0,0,0,0,0,0
2509276047,0,0,0,3,0,0
2509276048,5,4,0,9,2,1
2509276050,0,0,0,0,0,0
2509276051,0,0,0,0,0,0
2509276052,4,7,0,4,0,2
2509276054,0,0,1,0,0,2
2509276055,0,0,0,0,0,0
2509276056,0,0,0,0,0,0
2509276057,0,0,0,0,0,0
2509276058,0,0,0,0,0,0
2509276059,0,0,0,0,0,0
2509276060,0,0,0,0,0,0
2509276061,0,0,0,0,0,0
2509276062,0,0,0,0,0,0
2509276063,0,0,1,0,0,0
2509276064,0,0,0,0,0,0
2509276065,0,0,0,0,0,0
2509276066,0,0,0,0,0,0
2509276067,0,0,0,0,0,0
2509601000,0,0,0,0,0,0
2509601001,0,0,0,0,0,0
2509601004,2,2,0,0,0,0
2509601008,0,0,0,0,0,0
2509601011,0,0,0,0,0,0
2509601013,0,0,0,0,0,0
2509601017,0,0,0,0,0,0
2509601019,0,0,0,0,0,0
2509601020,0,0,0,0,0,0
2509601025,0,0,0,0,0,0
2509601026,0,0,0,3,0,0
2509601027,0,0,0,1,0,0
2509601028,0,0,0,0,0,0
2509601029,0,0,0,0,0,1
2509601031,0,1,0,1,0,0
2509601032,0,0,0,0,0,0
2509601034,0,0,0,0,0,1
2509601035,0,0,0,0,0,0
2509601036,0,0,0,0,0,0
2509601038,0,0,0,0,0,0
2509601039,0,0,0,4,0,0
2509601041,0,1,0,0,0,1
2509601042,0,0,0,0,0,0
2509601044,0,0,0,0,0,1
2509601046,0,0,0,0,0,0
2509601048,0,0,0,0,0,0
2509887000,0,0,0,0,0,0
2509887024,0,1,0,0,0,0
2509887025,3,1,0,3,0,0
2509887032,0,0,0,0,0,0
2509887034,0,0,0,0,0,0
2510065002,0,0,0,0,0,0
2510065003,0,0,0,0,0,0
2510065004,0,0,0,0,0,0
2510065005,0,0,0,0,0,0
2510065008,0,0,0,0,0,0
2510065009,0,0,0,0,0,0
2510065010,0,0,0,0,0,0
2510065011,0,0,0,0,0,0
