#SampleID,Study,Latitude,Longitude,Environment,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Light,CollectionDate,Season,PrimerPair,DNAExtraction
AZ2015s039,AmaralZettler2015,11.99833,-61.77167,marine,water,field,incubation,plastic,pe,pe,aliphatic,0.5,0,early,28.2,NA,ambient,06/06/2013,summer,967F_1064R,gentra_puregene
AZ2015s040,AmaralZettler2015,11.99833,-61.77167,marine,water,field,incubation,plastic,ps,ps,other plastic,0.5,0,early,28.2,NA,ambient,06/06/2013,summer,967F_1064R,gentra_puregene
AZ2015s041,AmaralZettler2015,18.67167,-64.585,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,27.6,36.26,ambient,16/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s042,AmaralZettler2015,18.67167,-64.585,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,27.6,36.26,ambient,16/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s043,AmaralZettler2015,20.03167,-64.96667,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,26.9,36.21,ambient,17/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s044,AmaralZettler2015,20.03167,-64.96667,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,26.9,36.21,ambient,17/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s045,AmaralZettler2015,20.03167,-64.96667,marine,water,field,collection,water,water,water,planktonic,550,collection,collection,12.3,35.59,ambient,17/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s046,AmaralZettler2015,21.52167,-64.89167,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,25.8,36.4,ambient,18/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s047,AmaralZettler2015,21.52167,-64.89167,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,25.8,36.4,ambient,18/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s048,AmaralZettler2015,22.30333,-65.18,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,25.9,36,ambient,19/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s049,AmaralZettler2015,22.30333,-65.18,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,25.9,36,ambient,19/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s050,AmaralZettler2015,23.28333,-65.05167,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,26,36.01,ambient,20/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s051,AmaralZettler2015,23.28333,-65.05167,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,26,36.01,ambient,20/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s052,AmaralZettler2015,23.29167,-65.08333,marine,water,field,collection,plastic,pp,pp,aliphatic,0,collection,collection,26,36.01,ambient,20/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s053,AmaralZettler2015,23.29167,-65.08333,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,26,36.01,ambient,20/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s054,AmaralZettler2015,24.81167,-64.57,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,26.2,36.07,ambient,21/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s055,AmaralZettler2015,24.81167,-64.57,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,26.2,36.07,ambient,21/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s056,AmaralZettler2015,24.82833,-64.58167,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,26.2,36.07,ambient,21/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s057,AmaralZettler2015,26.07,-64.18667,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,26,36.07,ambient,22/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s058,AmaralZettler2015,26.07,-64.18667,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,26,36.07,ambient,22/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s059,AmaralZettler2015,26.08167,-64.19667,marine,water,field,collection,plastic,pp,pp,aliphatic,0,collection,collection,26,36.07,ambient,22/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s060,AmaralZettler2015,27.31167,-63.56,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,24.5,36.5,ambient,23/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s061,AmaralZettler2015,27.31167,-63.56,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,24.5,36.5,ambient,23/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s062,AmaralZettler2015,27.31167,-63.56,marine,water,field,collection,water,water,water,planktonic,550,collection,collection,14.5,35.92,ambient,23/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s063,AmaralZettler2015,27.31167,-63.56,marine,water,field,collection,water,water,water,planktonic,550,collection,collection,14.5,35.92,ambient,23/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s064,AmaralZettler2015,27.32333,-63.565,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,24.5,36.5,ambient,23/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s065,AmaralZettler2015,27.32333,-63.565,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,24.5,36.5,ambient,23/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s066,AmaralZettler2015,28.1,-63.44,marine,water,field,collection,plastic,plastic,plastic,unknown plastic,0,collection,collection,24.7,36.57,ambient,24/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s067,AmaralZettler2015,28.67,-63.75667,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,24.6,36.41,ambient,25/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s068,AmaralZettler2015,28.67,-63.75667,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,24.6,36.41,ambient,25/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s069,AmaralZettler2015,30.55333,-64.13,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,23.6,36.66,ambient,26/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s070,AmaralZettler2015,31.65,-64.26167,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,22.7,36.4,ambient,27/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s071,AmaralZettler2015,31.65,-64.26167,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,22.7,36.4,ambient,27/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s072,AmaralZettler2015,31.65,-64.26167,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,22.7,36.4,ambient,27/05/2012,spring,967F_1064R,gentra_puregene
