,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs unknown plastic,Late: aliphatic vs other plastic,Late: aliphatic vs unknown plastic,Late: aliphatic vs biofilm,Early: other plastic vs unknown plastic,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm,Early: unknown plastic vs biofilm,Late: unknown plastic vs biofilm
de7129480d6c7e4d4f6a4fd90b01b86a,0,0,0,0,0,0.0,0,0,0,0,0,0
d3a60d931aed828666a7818a3da0ee38,0,0,0,0,0,0.0,0,0,0,0,0,0
183b1085ec7d9b20001265937f063710,0,0,0,0,0,1.0272059683094998,0,0,1.0272059683094998,0,0,1.0272059683094998
43207165d765bdd6edde112306fdca3a,0,0,0,0,0,0.0,0,0,0.0,0,0,0
7300ebbc84b24580784262ad3a8126fa,0,0,0,0,0,0.0,0,0,0,0,0,0
226ca6b52d7af139c06f232fd38e3569,0,0,0,0,0,0.0,0,0,0.0,0,0,0
64723e321d1e32dcc4001aac6b6e905e,0,0,0,0,0,1.2528880399491493,0,0,1.2528880399491493,0,0,1.2528880399491493
6c3b7911836b2540e3c0a928db2f835a,0,0,0,0,0,1.2528880399491493,0,0,1.2528880399491493,0,0,1.2528880399491493
dc686f93caf01671dd3a684642347753,0,0,0,0,0,0.0,0,0,0,0,0,0
54c08c6fca1c3d88ede3a69457f57264,0,0,0,0,0,0.0,0,0,0,0,0,0
54f898def28362ee75f0311e70c42e00,0,0,0,0,0,0.0,0,0,0,0,0,0
49591c3f74ae2f393ec3565ef4ce61d1,0,0,0,0,0,0.0,0,0,0,0,0,0
ba401d97a3d1fd259b0c9abfb61197a6,0,0,0,0,0,0.0,0,0,0,0,0,0
504bda43dba49a4c962dac812c8b799a,0,0,0,0,0,0.0,0,0,0,0,0,0
15dd721c2cadf5fa9486db1a75cf3091,0,0,0,0,0,0.0,0,0,0,0,0,0
660cbea998ac83a62e41fe959e320855,0,0,0,0,0,0.0,0,0,0,0,0,0
bd82700ee80d6e5db92f81f02be89133,0,0,0,0,0,1.0619360368833601,0,0,1.0619360368833601,0,0,0
28e8cee608bb6332250305af82111939,0,0,0,0,0,0.0,0,0,0,0,0,0
