#SampleID	Study	Latitude	Longitude	Environment	WaterOrSediment	LabOrField	IncubationOrCollection	Source	MaterialType	PlasticTypeSpecific	PlasticTypeGeneral	DEPTH	IncubationTime	IncubationGeneral	Temperature	Salinity	Light	Season	PrimerPair	DNAExtraction
Wu2019s017	Wu	39.01	117.33	freshwater	water	lab	incubation	not_plastic	rock	not_plastic	biofilm	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s018	Wu	39.01	117.33	freshwater	water	lab	incubation	not_plastic	rock	not_plastic	biofilm	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s019	Wu	39.01	117.33	freshwater	water	lab	incubation	not_plastic	rock	not_plastic	biofilm	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s024	Wu	39.01	117.33	freshwater	water	lab	incubation	not_plastic	rock	not_plastic	biofilm	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s025	Wu	39.01	117.33	freshwater	water	lab	incubation	not_plastic	rock	not_plastic	biofilm	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s006	Wu	39.01	117.33	freshwater	water	lab	incubation	organic	leaf	organic	biofilm	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s007	Wu	39.01	117.33	freshwater	water	lab	incubation	organic	leaf	organic	biofilm	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s008	Wu	39.01	117.33	freshwater	water	lab	incubation	organic	leaf	organic	biofilm	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s009	Wu	39.01	117.33	freshwater	water	lab	incubation	organic	leaf	organic	biofilm	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s010	Wu	39.01	117.33	freshwater	water	lab	incubation	organic	leaf	organic	biofilm	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s016	Wu	39.01	117.33	freshwater	water	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s020	Wu	39.01	117.33	freshwater	water	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s021	Wu	39.01	117.33	freshwater	water	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s022	Wu	39.01	117.33	freshwater	water	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s023	Wu	39.01	117.33	freshwater	water	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s001	Wu	39.01	117.33	freshwater	water	lab	incubation	water	water	water	planktonic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s002	Wu	39.01	117.33	freshwater	water	lab	incubation	water	water	water	planktonic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s003	Wu	39.01	117.33	freshwater	water	lab	incubation	water	water	water	planktonic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s004	Wu	39.01	117.33	freshwater	water	lab	incubation	water	water	water	planktonic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s005	Wu	39.01	117.33	freshwater	water	lab	incubation	water	water	water	planktonic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s011	Wu	39.01	117.33	freshwater	water	lab	incubation	water	water	water	planktonic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s012	Wu	39.01	117.33	freshwater	water	lab	incubation	water	water	water	planktonic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s013	Wu	39.01	117.33	freshwater	water	lab	incubation	water	water	water	planktonic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s014	Wu	39.01	117.33	freshwater	water	lab	incubation	water	water	water	planktonic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Wu2019s015	Wu	39.01	117.33	freshwater	water	lab	incubation	water	water	water	planktonic	0	14	late	20	0	ambient	spring	338F_806R	powerbiofilm
Zh2019s004	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	not_plastic	plant	not_plastic	biofilm	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Zh2019s005	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	not_plastic	plant	not_plastic	biofilm	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Zh2019s006	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	not_plastic	plant	not_plastic	biofilm	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Zh2019s007	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	plastic	plastic	plastic	unknown plastic	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Zh2019s008	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	plastic	plastic	plastic	unknown plastic	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Zh2019s009	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	plastic	plastic	plastic	unknown plastic	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Zh2019s010	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	plastic	plastic	plastic	unknown plastic	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Zh2019s011	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	plastic	plastic	plastic	unknown plastic	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Zh2019s012	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	plastic	plastic	plastic	unknown plastic	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Zh2019s001	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	sediment	soil	sediment	biofilm	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Zh2019s002	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	sediment	soil	sediment	biofilm	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Zh2019s003	Zhang	44.363333	85.979722	terrestrial	sediment	field	collection	sediment	soil	sediment	biofilm	427	unknown	collection	7.8	0	ambient	summer	338F_806R	powersoil
Ki2018s001	Kirstein	54.18286	7.888838	marine	water	lab	incubation	not_plastic	glass	not_plastic	biofilm	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s002	Kirstein	54.18286	7.888838	marine	water	lab	incubation	not_plastic	glass	not_plastic	biofilm	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s003	Kirstein	54.18286	7.888838	marine	water	lab	incubation	not_plastic	glass	not_plastic	biofilm	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s004	Kirstein	54.18286	7.888838	marine	water	lab	incubation	not_plastic	glass	not_plastic	biofilm	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s005	Kirstein	54.18286	7.888838	marine	water	lab	incubation	not_plastic	glass	not_plastic	biofilm	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s006	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pe	pe	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s007	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pe	pe	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s008	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pe	pe	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s009	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pe	pe	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s010	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pe	pe	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s011	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pe	pe	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s012	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pe	pe	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s013	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pe	pe	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s014	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pe	pe	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s015	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pe	pe	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s021	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pet	pet	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s022	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pet	pet	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s023	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pet	pet	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s024	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pet	pet	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s025	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pet	pet	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s026	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pla	pla	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s027	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pla	pla	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s028	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pla	pla	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s029	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pla	pla	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s030	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pla	pla	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s016	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pestur	polyester	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s017	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pestur	polyester	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s018	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pestur	polyester	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s019	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pestur	polyester	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s020	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pestur	polyester	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s031	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pp	pp	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s032	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pp	pp	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s033	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pp	pp	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s034	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pp	pp	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s035	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pp	pp	aliphatic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s036	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	ps	ps	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s037	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	ps	ps	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s038	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	ps	ps	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s039	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	ps	ps	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s040	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	ps	ps	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s041	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pvc	pvc	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s042	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pvc	pvc	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s043	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pvc	pvc	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s044	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pvc	pvc	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s045	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	pvc	pvc	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s046	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	san	san	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s047	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	san	san	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s048	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	san	san	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s049	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	san	san	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2018s050	Kirstein	54.18286	7.888838	marine	water	lab	incubation	plastic	san	san	other plastic	0	456	late	13	33	dark	all	341F_785R	custom
Ki2019s001	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	not_plastic	glass	not_plastic	biofilm	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s002	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	not_plastic	glass	not_plastic	biofilm	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s003	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	not_plastic	glass	not_plastic	biofilm	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s004	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	not_plastic	glass	not_plastic	biofilm	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s005	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	not_plastic	glass	not_plastic	biofilm	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s046	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	not_plastic	glass	not_plastic	biofilm	0	699	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s006	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	hdpe	pe	aliphatic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s007	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	hdpe	pe	aliphatic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s008	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	hdpe	pe	aliphatic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s009	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	hdpe	pe	aliphatic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s010	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	hdpe	pe	aliphatic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s011	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	ldpe	pe	aliphatic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s012	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	ldpe	pe	aliphatic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s013	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	ldpe	pe	aliphatic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s014	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	ldpe	pe	aliphatic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s015	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	ldpe	pe	aliphatic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s047	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	hdpe	pe	aliphatic	0	699	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s048	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	ldpe	pe	aliphatic	0	699	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s021	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pet	pet	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s022	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pet	pet	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s023	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pet	pet	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s024	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pet	pet	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s025	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pet	pet	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s050	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pet	pet	other plastic	0	699	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s026	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pla	pla	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s027	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pla	pla	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s028	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pla	pla	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s029	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pla	pla	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s030	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pla	pla	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s051	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pla	pla	other plastic	0	699	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s016	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pestur	polyester	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s017	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pestur	polyester	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s018	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pestur	polyester	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
Ki2019s019	KirsteinB	54.18286	7.888838	marine	water	lab	incubation	plastic	pestur	polyester	other plastic	0	850	late	13	33	dark	all	341F_785R	powerbiofilm
