,Latitude,Longitude,WaterOrSediment,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,Temperature,Season
37dad646aac817f4c51430721393ba10,0.012846425373789489,0.0028119364004868326,0.0056260262484209775,0.005719526964512877,0.006431236828874263,0.007410471411242939,0.007268529613385638,0.0011683486416665552,0.006525429764166444,0.005549007578712449
9f6f2ccd9943ba5330e77f8d9012eae5,0.012813171954950147,0.0019996394713123204,0.007968601126393176,0.0040617147624657565,0.00461394123460218,0.0045531083515165495,0.007035565803878935,0.024745143043848065,0.006340474004818928,0.007648573809563329
af383f9105d8884d96c3f47ff2def0a8,0.012693288202907774,0.005963965755501195,0.0032734720845731934,0.004375577204035621,0.006096812549806468,0.006339720255308639,0.0060232178421458045,0.0013168391391194408,0.0015460828968414002,0.004836635373255168
ab9bd74808cab68ca819b050a7e46522,0.011968417895816494,0.00742850442168317,0.01138138901574308,0.008873861930450207,0.014036042176983525,0.01571268236393347,0.01578106316461818,0.0022342699626169862,0.005161168450933741,0.0054757301813085114
9ac1d376f84dff0b4a0b11b609620bfa,0.011925741218057888,0.009009518818236016,0.011997525044405684,0.016504863144766055,0.010308822055411154,0.009855627938835354,0.014739333706839164,0.0015072140762536067,0.0018296840389270277,0.008191837519566475
a7a963bf0fb0d67274c1d3c9769263b9,0.011510417127631971,0.006230189363601392,0.007678960133378361,0.008018108914679016,0.008586421591444245,0.009762582269559292,0.011989660665993267,0.007660093496641756,0.004841629362901057,0.00790586400262205
3296d305e3f6ed0dae4669b5b8c4e9d3,0.01137857873012888,0.00664305895267837,0.013111286145562983,0.007995090360871286,0.006791515998208816,0.005898341638747619,0.007908504252402703,0.03828453529385701,0.002004978366574228,0.007760429473492
cf1b11be354d791ccbdcd45575acf606,0.010965135556491172,0.0004046303125474333,0.00011125799658898337,5.8878996255778945e-05,0.00015456235006896214,0.00019163053970642236,3.0335712502966654e-05,0.010736506370657936,8.71265086415285e-07,0.0004021537686835945
a46ef26c68f34bf00032851f65c69f36,0.010790134475449025,0.03596613089137821,0.014236101380197125,0.012829192460026775,0.009771538055846662,0.00830976918651216,0.01135099227586193,0.010995118547706169,0.005632512386769911,0.009917499511772484
3fe5c032215c933745e281b4e338d90b,0.01059155349792982,0.0010208209911258394,0.0029933872976332983,0.003598893229754852,0.004796525968402853,0.0037888422268783826,0.0033935891071206798,0.011392341818221411,0.0009100754919166748,0.003203886127464702
14cbfbff578d66019bd47d58c798b4c3,0.01042254172570269,0.0052616006832472955,0.008011995231636588,0.007992938408075936,0.010621287112601971,0.012236154843008362,0.009989165764808506,0.004878078289440632,0.0052121987357329124,0.007038773689432575
86f3b3f784dcdf873e1d6b962ffbbbdd,0.009451487326639882,0.0022756739897488725,0.006258083157599675,0.004762326600257821,0.005096598528474107,0.005186059084862542,0.004338938644899763,0.000744590378657283,0.007016231474499695,0.0069644593154711484
e48f0415c755a58e0a0c541963963924,0.009127720037568808,0.008395024645271016,0.009892890344227113,0.007107040154318792,0.012001175724847869,0.01044258926770311,0.009268884036720737,0.0020309820244720548,0.005851358747710833,0.008683871543268088
ab7b388aa19aab19e2e487242f4dfefe,0.008688558386328765,0.0006606218489575427,0.0002733128426004391,0.0010736090053048196,0.0032729191850873716,0.002362159258895658,0.0005568432626493491,4.768663148452282e-05,0.0009215779103343106,0.0010446562311356576
57dde192ef7a152e9402964ad8385b65,0.00827130828197823,0.01604896391306391,0.006105998149235008,0.017004812365729934,0.011030563946619823,0.008167762770916145,0.009349099983216085,0.0032558805209125766,0.0030096084459141407,0.007289333695671025
60c5874530fb102c40f246e7b59cad1b,0.007821343072077953,0.01942943458084443,0.029434843323057066,0.020104047215328567,0.0167180103464577,0.021241887867604784,0.022542239059387497,0.005040153461980536,0.08485817102314246,0.014965309004173064
