,Longitude,WaterOrSediment,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral
c556975bac485d3e853ad35ea4cb4f4f,0.0,0.0,0.0003451740905278015,0.00017684089815433446,0.0001325877641594482,0.00010394669250512121
82e4ca299c4e6cc7e629baf88e6b0b26,0.0,0.0,0.0,0.0,0.0,0.0
c7199e02c310cf0d432375272377615b,0.0,2.2623442694112664e-05,0.0,0.0,0.0,6.924110161335572e-05
d71daaac8e969973bdcb093d80cb2120,0.0,0.0,0.0,0.0,0.0,0.0
6fe18f45a48e1088d465303bc6928674,0.0,0.0,0.0,0.0,0.0,0.0
bf907227d440e1805388be1a71b77a50,0.0,0.0,0.0,0.0,0.0,0.0
24f02e5080d0e05cd8f0bc3082e8802d,0.0,0.0,0.0,0.0,0.0,0.0
a86c17aba4bf3934fa4101f35035001e,0.0,0.0,0.00021644863786242537,0.00026071045453818914,0.00020565717971415479,0.00012596984105621724
387a0035d90039132a055e079c43f2e5,0.0,0.0017523844912370632,0.003864032321274169,0.003376981314522806,0.0014077695629297316,0.004946908599135445
0ae14e4ca61b4d8ec1579f833a4afc3a,0.0,0.004248425181215273,0.004665014582782225,0.004675171464453301,0.0009384672848556651,0.0031574713123565996
33a516f00563ddac500c9d4b43236758,0.0,0.0,0.0,0.0,0.0,0.0
0450b28abc45714f2c2e3b2f30bbb4cf,0.0,0.00042217655808490567,0.006932741351029069,0.007475914447830323,0.003295212856080648,0.006832311386291744
7f29fb0bfb5d2c5a19ee9729021cbdbd,0.0,0.01889078762575363,0.00993520390822877,0.0116828055025923,0.014392046707592747,0.00431299016340091
f0c51a4fd75096ee36c01c63fbc31cec,0.0,0.0,0.0002525629323212412,0.00013477815849339457,0.00027808021404017685,0.00020141048696289038
b45fcf705188e52b2f3288d404e84410,0.0,0.0,0.00013514194421323058,0.00018604541915308802,0.00015750383218579692,0.0001726252941489316
87ccc2242b7286bbc89ecaa8946c3cc5,0.0,0.0,0.0,0.0,0.0,0.0
9cfbccc48b63a139f7c2f3aa3cd75667,0.0,0.00399887222299187,0.003076359581028957,0.004702925576340721,0.00370361264263316,0.0033689685200553707
fb8013265bfe4300ab1f0dc436d24d16,0.0,0.0,0.0,0.0,0.0,0.0
a40bfe8bf2c4f4b5ac4527e22eb0f5a0,0.0,0.0,0.0,0.0,0.0,0.0
58c4c519152238addd28ad789a0e3adc,0.0,0.0007929628096686712,0.0005283293355717893,0.0011381822830132942,0.0020409695266535937,0.0008028092661060702
ba2bf1a1bcd453a02a5a7749d2ee93ea,0.0,0.0,0.0,0.0,0.0,0.0
21a5a9ccf5842dff738d54f164b30c5c,0.0,0.0011944390085803726,0.0012479413247515822,0.002577646618433505,0.0028143202189559982,0.006668604500041273
e2c6ed7bf6d8121c179276d2b3996fa5,0.0,0.00046575458979385424,0.0,0.0006424041130992879,0.0,0.0017885685274884795
fb5d33e9375e4d1640c7eaf9ce9ea7ed,0.0,0.0004607086200439636,0.002031933631010557,0.002411841542756383,0.002383462334929126,0.006189773023103116
4dc741dd427173dfc7c53adc527826df,0.0,0.014707246520313253,0.004889822891771601,0.006013286001291019,0.0011252096419643285,0.005800527464684281
d8d24bfd1fe2616ed4d1100a7cb56940,0.0,3.474748339468295e-05,0.0023761035021631774,0.0038840984356083345,0.0010212793734909193,0.0037980210911309747
7b6b178fad5599c0e9a734e4fb09fd64,0.0,0.0,0.0,0.0,0.0,0.0
37dad646aac817f4c51430721393ba10,0.0,1.1072594884756439e-05,0.0003041583871259228,0.0005292126992333404,0.000447691999423987,0.00035580102392197154
b6b9dc53a50f46aed135feb042fe97ba,0.0,0.0,0.0,0.0,0.0,0.0
27740e1d3674a8c7a0cfba444d0c2c46,0.0,0.0,0.0,0.0,0.0,0.0
4b2dc29180af24571d90fba3e40066bc,0.0,0.0,0.0,0.0,0.0,0.0
adc324b0e294b133e544f69030146d4c,0.0,0.005572825779378531,0.004543006920636055,0.0029969647354769883,0.0025957058160840443,0.003190686375266787
97641a323b01825b896a026acb44ed8b,0.0,0.00021780160800173842,0.0,0.00020968208295353788,0.0,0.00024627257008922693
cb16e852847785239a4de5fcd3b3af02,0.0,0.0001798095056345577,0.00043947084232188083,0.0018442708170509983,0.0,0.0007426776766491675
d7ad1bae995487781d84990fb7757f83,0.0,0.0014963272741989647,0.0025426898221322758,0.0027905174104320123,0.013516046607836523,0.015206557505472128
30325edcdfd52870cb9940587b9817f7,0.0,0.0,0.0,0.0,0.0,0.0
419ebb5879682e32d8fa37e2db9deb31,0.0,0.0,0.0,0.0,0.0,0.0
0fee2b4a205b2c372db7eadfa0b0b6aa,0.0,0.0,0.0,0.0,0.0,0.0
93a13da347e3890ea6147351fe989654,0.0,0.0,0.0,0.0,0.0,0.0
a4e7c4029a5970db9ae5de9cb1b8ced9,0.0,0.0,0.0,0.0,0.0,0.0
ef26130c65d1473e1cb861510769ced0,0.0,0.0,0.0,0.0,0.0,0.0
